A                                  ['4']
AA                                 ['2601']
AAA                                ['6063']
AAC                                ['15352']
AALIYAH                            ['12985']
AARON                              ['5500']
AB                                 ['3160']
ABA                                ['14614']
ABANDON                            ['14529']
ABANDONED                          ['8575']
ABATEMENT                          ['19979']
ABBA                               ['19546']
ABBEY                              ['11213']
ABBOTT                             ['13459']
ABBREVIATION                       ['19385']
ABBREVIATIONS                      ['12136']
ABBY                               ['17728']
ABC                                ['4099']
ABDOMINAL                          ['13609']
ABDUL                              ['16667']
ABE                                ['15637']
ABERDEEN                           ['9293']
ABI                                ['18230']
ABIDE                              ['12105']
ABIGAIL                            ['19990']
ABILITIES                          ['7576']
ABILITY                            ['1588']
ABIT                               ['17285']
ABLE                               ['726']
ABN                                ['14067']
ABNORMAL                           ['11655']
ABNORMALITIES                      ['17291']
ABOARD                             ['11445']
ABORIGINAL                         ['7982']
ABORTION                           ['6473']
ABOUT                              ['35']
ABOVE                              ['546']
ABRAHAM                            ['9042']
ABRAMOFF                           ['16788']
ABROAD                             ['4604']
ABS                                ['7353']
ABSENCE                            ['4641']
ABSENT                             ['6792']
ABSOLUTE                           ['4303']
ABSOLUTELY                         ['3581']
ABSORB                             ['15815']
ABSORBED                           ['13520']
ABSORBING                          ['19925']
ABSORPTION                         ['9690']
ABSTRACT                           ['1474']
ABSTRACTION                        ['15863']
ABSTRACTS                          ['7906']
ABSURD                             ['16817']
ABT                                ['11477']
ABU                                ['9445']
ABUNDANCE                          ['10238']
ABUNDANT                           ['12716']
ABUSE                              ['2224']
ABUSED                             ['13006']
ABUSES                             ['15201']
ABUSIVE                            ['13364']
AC                                 ['2120']
ACA                                ['19367']
ACAD                               ['12675']
ACADEMIA                           ['16576']
ACADEMIC                           ['1505']
ACADEMICS                          ['8125']
ACADEMIES                          ['17632']
ACADEMY                            ['2724']
ACAPULCO                           ['19807']
ACC                                ['3021']
ACCELERATE                         ['13323']
ACCELERATED                        ['11030']
ACCELERATION                       ['11390']
ACCELERATOR                        ['12163']
ACCENT                             ['8872']
ACCENTS                            ['11381']
ACCEPT                             ['1892']
ACCEPTABLE                         ['4669']
ACCEPTANCE                         ['2186']
ACCEPTED                           ['1751']
ACCEPTING                          ['8034']
ACCEPTS                            ['8308']
ACCESS                             ['323']
ACCESSED                           ['6797']
ACCESSES                           ['18344']
ACCESSIBILITY                      ['3823']
ACCESSIBLE                         ['3866']
ACCESSING                          ['7701']
ACCESSION                          ['10511']
ACCESSORIES                        ['487']
ACCESSORY                          ['3867']
ACCIDENT                           ['3864']
ACCIDENTAL                         ['11732']
ACCIDENTALLY                       ['14905']
ACCIDENTS                          ['6729']
ACCLAIM                            ['18781']
